1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
48.0,37.0,44.0,39.0,39.0,27.0,21.0,79.0,51.0,52.0,44.0,27.0,43.0,33.0,30.0,34.0,24.0,44.0,8.0,40.0,30.0,44.0,41.0,22.0
48.0,37.0,45.0,39.0,40.0,27.0,20.0,80.0,51.0,52.0,44.0,26.0,44.0,33.0,30.0,34.0,23.0,44.0,8.0,40.0,30.0,43.0,41.0,22.0
48.0,37.0,45.0,38.0,40.0,27.0,20.0,80.0,51.0,52.0,44.0,26.0,44.0,33.0,30.0,34.0,23.0,44.0,8.0,40.0,30.0,43.0,41.0,22.0
48.0,37.0,44.0,38.0,39.0,28.0,20.0,80.0,51.0,52.0,44.0,25.0,43.0,33.0,30.0,34.0,23.0,44.0,9.0,39.0,30.0,44.0,41.0,22.0
48.0,37.0,45.0,38.0,40.0,27.0,20.0,80.0,51.0,52.0,44.0,26.0,44.0,33.0,30.0,34.0,23.0,44.0,8.0,40.0,30.0,43.0,41.0,22.0
48.0,38.0,43.0,38.0,39.0,28.0,20.0,79.0,51.0,52.0,45.0,26.0,43.0,33.0,30.0,35.0,23.0,43.0,8.0,40.0,30.0,44.0,41.0,22.0
48.0,38.0,44.0,38.0,40.0,27.0,20.0,80.0,51.0,52.0,45.0,26.0,43.0,33.0,30.0,35.0,23.0,44.0,8.0,40.0,30.0,44.0,41.0,22.0
48.0,38.0,44.0,38.0,39.0,27.0,20.0,80.0,51.0,52.0,45.0,26.0,43.0,33.0,30.0,35.0,23.0,44.0,8.0,40.0,30.0,44.0,41.0,22.0
48.0,38.0,44.0,38.0,39.0,27.0,20.0,80.0,51.0,51.0,45.0,25.0,44.0,33.0,30.0,35.0,23.0,44.0,8.0,40.0,30.0,44.0,41.0,22.0
48.0,37.0,44.0,38.0,40.0,27.0,20.0,80.0,51.0,51.0,45.0,25.0,44.0,33.0,30.0,35.0,23.0,44.0,8.0,40.0,30.0,44.0,41.0,22.0
48.0,38.0,43.0,38.0,39.0,28.0,20.0,79.0,51.0,52.0,45.0,26.0,43.0,33.0,30.0,36.0,23.0,43.0,8.0,40.0,30.0,44.0,41.0,22.0
48.0,37.0,44.0,38.0,40.0,27.0,20.0,80.0,52.0,51.0,45.0,25.0,44.0,33.0,30.0,35.0,23.0,44.0,8.0,40.0,30.0,43.0,41.0,22.0
48.0,38.0,44.0,38.0,40.0,27.0,20.0,80.0,52.0,52.0,45.0,25.0,44.0,33.0,30.0,36.0,23.0,44.0,8.0,40.0,30.0,43.0,41.0,22.0
