iteration, error per color, red multiplier, green multiplier, blue multiplier
1,37.52543465958333,1.0,0.8941,0.8031
2,37.618754737916674,1.0,0.8941,0.8031
3,37.546228225416655,1.0,0.8941,0.8031
4,37.47989097874999,1.0,0.8941,0.8031
5,37.59474089291667,1.0,0.8941,0.8031
6,37.493351438750004,1.0,0.8941,0.8031
7,37.582495523750005,1.0,0.8941,0.8031
8,37.560081017916666,1.0,0.8941,0.8031
9,37.479514936250006,1.0,0.8941,0.8031
10,37.49853050166667,1.0,0.8941,0.8031
11,37.538671514583335,1.0,0.8941,0.8031
12,37.478030777499995,1.0,0.8941,0.8031
13,37.56282496833333,1.0,0.8941,0.8031
